市場,業種,銘柄コード,名称,現在日付,前日終値,始値,高値,安値,終値,出来高,逆日歩,信用売残,信用買残,配当,配当落日,PER,PBR
JASDAQ(グロース・内国株）,建設業,1400,ルーデン・ホールディングス,2022/1/21,188,188,189,184,185,6200,0,0,152500,0,2022/12/29,59.67,0.9
JASDAQ(グロース・内国株）,建設業,1739,メルディアＤＣ,2022/1/21,750,747,747,724,735,6900,0,0,204500,15,2022/6/29,3.44,0.7
JASDAQ(グロース・内国株）,サービス業,2164,地域新聞社,2022/1/21,430,415,424,411,417,7900,0,0,81700,0,2022/8/30,80.19,10.2
JASDAQ(グロース・内国株）,サービス業,2173,博展,2022/1/21,500,493,498,490,495,9000,0,7500,161600,5,2022/3/30,6.23,3.06
JASDAQ(グロース・内国株）,サービス業,2195,アミタホールディングス,2022/1/21,1973,2113,2373,1676,1900,2073200,0,100,95500,0,2022/12/29,31.71,10.76
JASDAQ(グロース・内国株）,情報・通信業,2321,ソフトフロントホールディングス,2022/1/21,94,92,94,91,94,35000,0,0,1718500,0,2022/3/30,313.33,12.66
JASDAQ(グロース・内国株）,その他金融業,2388,ウェッジホールディングス,2022/1/21,81,81,81,78,80,117000,0,0,1429300,0,2022/9/29,19.04,0.79
JASDAQ(グロース・内国株）,サービス業,2425,ケアサービス,2022/1/21,707,701,701,685,685,8000,0,0,46600,10,2022/3/30,10.6,1.33
JASDAQ(グロース・内国株）,サービス業,2479,ジェイテック,2022/1/21,193,190,192,189,189,103200,0,0,1225800,1,2022/3/30,75.6,1.72
JASDAQ(グロース・内国株）,不動産業,2986,ＬＡホールディングス,2022/1/21,2078,2023,2040,1972,2040,86700,0,11200,380000,130,2022/12/29,4.91,1.86
JASDAQ(グロース・内国株）,情報・通信業,3042,セキュアヴェイル,2022/1/21,265,262,265,256,261,23100,0,0,432200,0,2022/3/30,0,2
JASDAQ(グロース・内国株）,卸売業,3070,アマガサ,2022/1/21,279,280,282,272,277,104200,0,0,92600,0,2022/1/28,0,4.27
JASDAQ(グロース・内国株）,卸売業,3140,ＢＲＵＮＯ,2022/1/21,886,890,890,881,885,5700,0,500,65400,4,2022/6/29,23.91,2.68
JASDAQ(グロース・内国株）,情報・通信業,3625,テックファームホールディングス,2022/1/21,530,527,543,521,543,10700,0,0,663000,5,2022/6/29,27.42,1.58
JASDAQ(グロース・内国株）,情報・通信業,3777,ＦＨＴホールディングス,2022/1/21,18,18,19,17,18,480700,0,0,7939100,0,2022/12/29,25.71,3.15
JASDAQ(グロース・内国株）,情報・通信業,3803,イメージ情報開発,2022/1/21,443,440,440,436,440,1400,0,0,57900,0,2022/3/30,29.53,2.55
JASDAQ(グロース・内国株）,情報・通信業,3807,フィスコ,2022/1/21,168,164,169,163,169,212900,0,996200,4544600,3,2022/12/29,1.88,3.93
JASDAQ(グロース・内国株）,情報・通信業,3814,アルファクス・フード・システム,2022/1/21,510,514,514,499,510,11500,0,0,156200,0,2022/9/29,7.84,49.75
JASDAQ(グロース・内国株）,情報・通信業,3842,ネクストジェン,2022/1/21,737,732,745,720,739,2600,0,0,112500,0,2022/3/30,17.85,1.15
JASDAQ(グロース・内国株）,化学,4240,クラスターテクノロジー,2022/1/21,360,363,363,351,356,22300,0,0,440900,0,2022/3/30,26.96,1.48
JASDAQ(グロース・内国株）,情報・通信業,4316,ビーマップ,2022/1/21,452,449,465,445,455,11400,0,0,273900,0,2022/3/30,73.38,2.23
